Campaign,Campaign Type,Campaign Status,Campaign Daily Budget,Start Date,Networks,Languages,Locations,Bid Strategy Type,Campaign Tracking Template,Final URL Suffix,Labels
MX_Multidestino_y_Caribe_2026_05,Search,Paused,67000,05/15/2026,Google Search,es,2484;-2170,Maximize conversions,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&gclid={gclid},MX;Mes1;Multidestino
ES_Cartagena_Medellin_2026_05,Search,Paused,40000,05/17/2026,Google Search,es,2724;-2170,Maximize conversions,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&gclid={gclid},ES;Mes1;Premium
