Campaign,Ad Group,Age,Gender,Household Income,Bid Adjustment,Status
MX_Multidestino_y_Caribe_2026_05,,,,Top 10%,+20%,Paused
MX_Multidestino_y_Caribe_2026_05,,,,11-20%,+10%,Paused
MX_Multidestino_y_Caribe_2026_05,,18-24,,,Excluded,Paused
MX_Multidestino_y_Caribe_2026_05,,Unknown,,,Excluded,Paused
ES_Cartagena_Medellin_2026_05,,,,Top 10%,+25%,Paused
ES_Cartagena_Medellin_2026_05,,,,11-20%,+15%,Paused
ES_Cartagena_Medellin_2026_05,,18-24,,,Excluded,Paused
ES_Cartagena_Medellin_2026_05,,Unknown,,,Excluded,Paused
