Campaign,Ad Group,Header,Values,Platform Targeting,Start Date,End Date,Ad Schedule,Status
MX_Multidestino_y_Caribe_2026_05,,Destinos,Cartagena;San Andrés;Medellín;Eje Cafetero;Santa Marta,All,,,,Paused
MX_Multidestino_y_Caribe_2026_05,,Servicios,Vuelo incluido;Hotel 4*;Tours;Asesoría 24/7;Pago flexible,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,Destinos,Cartagena de Indias;Medellín;Eje Cafetero;Santa Marta;Bogotá,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,Servicios,Vuelo incluido;Hoteles 4* y 5*;Excursiones;Soporte 24/7;Tarifa premium,All,,,,Paused
